
10-fold cross-validation on splits directory using cognate_based_cognate_ned.
  fn    fp     tn     tp    precision    recall     f1     fb    accuracy    threshold  fold
----  ----  -----  -----  -----------  --------  -----  -----  ----------  -----------  ------
35.0  17.0  880.0   90.0        0.841     0.720  0.776  0.776       0.949         0.66  0
44.0  11.0  895.0   96.0        0.897     0.686  0.777  0.777       0.947         0.66  1
36.0  18.0  903.0   75.0        0.806     0.676  0.735  0.735       0.948         0.66  2
64.0  13.0  797.0  135.0        0.912     0.678  0.778  0.778       0.924         0.66  3
48.0  17.0  830.0  120.0        0.876     0.714  0.787  0.787       0.936         0.66  4
41.0  25.0  834.0   96.0        0.793     0.701  0.744  0.744       0.934         0.66  5
38.0  21.0  852.0  110.0        0.840     0.743  0.789  0.789       0.942         0.66  6
47.0  12.0  865.0   85.0        0.876     0.644  0.742  0.742       0.942         0.66  7
38.0  24.0  944.0   96.0        0.800     0.716  0.756  0.756       0.944         0.66  8
42.0  17.0  878.0  141.0        0.892     0.770  0.827  0.827       0.945         0.66  9
43.3  17.5  867.8  104.4        0.853     0.705  0.771  0.771       0.941         0.66  mean
 8.5   4.8   42.0   21.6        0.043     0.036  0.028  0.028       0.008         0.00  stdev


10-fold cross-validation on splits directory using cognate_based_cognate_sca_global.
  fn    fp     tn     tp    precision    recall     f1     fb    accuracy    threshold  fold
----  ----  -----  -----  -----------  --------  -----  -----  ----------  -----------  ------
32.0  20.0  877.0   93.0        0.823     0.744  0.782  0.782       0.949         0.46  0
45.0  13.0  893.0   95.0        0.880     0.679  0.766  0.766       0.945         0.46  1
36.0  17.0  904.0   75.0        0.815     0.676  0.739  0.739       0.949         0.46  2
61.0  14.0  796.0  138.0        0.908     0.693  0.786  0.786       0.926         0.44  3
44.0  16.0  831.0  124.0        0.886     0.738  0.805  0.805       0.941         0.46  4
35.0  19.0  840.0  102.0        0.843     0.745  0.791  0.791       0.946         0.46  5
33.0  14.0  859.0  115.0        0.891     0.777  0.830  0.830       0.954         0.46  6
50.0  18.0  859.0   82.0        0.820     0.621  0.707  0.707       0.933         0.46  7
34.0  18.0  950.0  100.0        0.847     0.746  0.794  0.794       0.953         0.46  8
42.0  15.0  880.0  141.0        0.904     0.770  0.832  0.832       0.947         0.44  9
41.2  16.4  868.9  106.5        0.862     0.719  0.783  0.783       0.944         0.46  mean
 9.2   2.4   42.6   22.4        0.036     0.050  0.038  0.038       0.009         0.01  stdev


10-fold cross-validation on splits directory using cognate_based_cognate_sca_overlap.
  fn    fp     tn     tp    precision    recall     f1     fb    accuracy    threshold  fold
----  ----  -----  -----  -----------  --------  -----  -----  ----------  -----------  ------
33.0  18.0  879.0   92.0        0.836     0.736  0.783  0.783       0.950         0.42  0
45.0  10.0  896.0   95.0        0.905     0.679  0.776  0.776       0.947         0.42  1
36.0  19.0  902.0   75.0        0.798     0.676  0.732  0.732       0.947         0.42  2
57.0  15.0  795.0  142.0        0.904     0.714  0.798  0.798       0.929         0.42  3
44.0  20.0  827.0  124.0        0.861     0.738  0.795  0.795       0.937         0.42  4
39.0  21.0  838.0   98.0        0.824     0.715  0.766  0.766       0.940         0.42  5
33.0  16.0  857.0  115.0        0.878     0.777  0.824  0.824       0.952         0.42  6
50.0  20.0  857.0   82.0        0.804     0.621  0.701  0.701       0.931         0.42  7
35.0  24.0  944.0   99.0        0.805     0.739  0.770  0.770       0.946         0.42  8
43.0  16.0  879.0  140.0        0.897     0.765  0.826  0.826       0.945         0.40  9
41.5  17.9  867.4  106.2        0.851     0.716  0.777  0.777       0.942         0.42  mean
 7.9   3.9   42.3   23.2        0.043     0.047  0.039  0.039       0.008         0.01  stdev


10-fold cross-validation on splits directory using cognate_based_cognate_sca_local.
  fn    fp     tn     tp    precision    recall     f1     fb    accuracy    threshold  fold
----  ----  -----  -----  -----------  --------  -----  -----  ----------  -----------  ------
34.0  16.0  881.0   91.0        0.850     0.728  0.784  0.784       0.951         0.40  0
46.0  10.0  896.0   94.0        0.904     0.671  0.770  0.770       0.946         0.40  1
36.0  20.0  901.0   75.0        0.789     0.676  0.728  0.728       0.946         0.42  2
58.0  13.0  797.0  141.0        0.916     0.709  0.799  0.799       0.930         0.40  3
46.0  20.0  827.0  122.0        0.859     0.726  0.787  0.787       0.935         0.40  4
39.0  19.0  840.0   98.0        0.838     0.715  0.772  0.772       0.942         0.40  5
35.0  15.0  858.0  113.0        0.883     0.764  0.819  0.819       0.951         0.40  6
49.0  18.0  859.0   83.0        0.822     0.629  0.712  0.712       0.934         0.40  7
35.0  25.0  943.0   99.0        0.798     0.739  0.767  0.767       0.946         0.42  8
42.0  17.0  878.0  141.0        0.892     0.770  0.827  0.827       0.945         0.40  9
42.0  17.3  868.0  105.7        0.855     0.713  0.776  0.776       0.943         0.40  mean
 7.8   4.2   41.4   22.9        0.044     0.044  0.036  0.036       0.007         0.01  stdev


10-fold cross-validation on splits directory using cognate_based_cognate_lex_global.
  fn    fp     tn     tp    precision    recall     f1     fb    accuracy    threshold  fold
----  ----  -----  -----  -----------  --------  -----  -----  ----------  -----------  ------
39.0  11.0  886.0   86.0        0.887     0.688  0.775  0.775       0.951         0.74  0
41.0   6.0  900.0   99.0        0.943     0.707  0.808  0.808       0.955         0.74  1
33.0  12.0  909.0   78.0        0.867     0.703  0.776  0.776       0.956         0.74  2
67.0   4.0  806.0  132.0        0.971     0.663  0.788  0.788       0.930         0.74  3
48.0  11.0  836.0  120.0        0.916     0.714  0.803  0.803       0.942         0.74  4
33.0  15.0  844.0  104.0        0.874     0.759  0.812  0.812       0.952         0.74  5
35.0  10.0  863.0  113.0        0.919     0.764  0.834  0.834       0.956         0.74  6
49.0   8.0  869.0   83.0        0.912     0.629  0.744  0.744       0.944         0.74  7
36.0  13.0  955.0   98.0        0.883     0.731  0.800  0.800       0.956         0.74  8
42.0   9.0  886.0  141.0        0.940     0.770  0.847  0.847       0.953         0.74  9
42.3   9.9  875.4  105.4        0.911     0.713  0.799  0.799       0.950         0.74  mean
10.4   3.3   42.0   21.0        0.034     0.045  0.030  0.030       0.008         0.00  stdev
