
10-fold cross-validation on splits directory using classifier_based_linear_svm_simple.
  fn    fp     tn     tp    precision    recall     f1     fb    accuracy  fold
----  ----  -----  -----  -----------  --------  -----  -----  ----------  ------
37.0   6.0  891.0   88.0        0.936     0.704  0.804  0.804       0.958  0
39.0   5.0  901.0  101.0        0.953     0.721  0.821  0.821       0.958  1
39.0   5.0  916.0   72.0        0.935     0.649  0.766  0.766       0.957  2
63.0   3.0  807.0  136.0        0.978     0.683  0.805  0.805       0.935  3
45.0   7.0  840.0  123.0        0.946     0.732  0.826  0.826       0.949  4
35.0  14.0  845.0  102.0        0.879     0.745  0.806  0.806       0.951  5
33.0  10.0  863.0  115.0        0.920     0.777  0.842  0.842       0.958  6
51.0   9.0  868.0   81.0        0.900     0.614  0.730  0.730       0.941  7
36.0   9.0  959.0   98.0        0.916     0.731  0.813  0.813       0.959  8
41.0   7.0  888.0  142.0        0.953     0.776  0.855  0.855       0.955  9
41.9   7.5  877.8  105.8        0.932     0.713  0.807  0.807       0.952  mean
 9.1   3.1   43.1   23.0        0.029     0.052  0.036  0.036       0.008  stdev


10-fold cross-validation on splits directory using classifier_based_linear_svm_simple_no_props.
  fn    fp     tn     tp    precision    recall     f1     fb    accuracy  fold
----  ----  -----  -----  -----------  --------  -----  -----  ----------  ------
36.0   6.0  891.0   89.0        0.937     0.712  0.809  0.809       0.959  0
40.0   5.0  901.0  100.0        0.952     0.714  0.816  0.816       0.957  1
39.0   5.0  916.0   72.0        0.935     0.649  0.766  0.766       0.957  2
64.0   3.0  807.0  135.0        0.978     0.678  0.801  0.801       0.934  3
47.0   7.0  840.0  121.0        0.945     0.720  0.818  0.818       0.947  4
35.0  13.0  846.0  102.0        0.887     0.745  0.810  0.810       0.952  5
33.0  10.0  863.0  115.0        0.920     0.777  0.842  0.842       0.958  6
51.0   7.0  870.0   81.0        0.920     0.614  0.736  0.736       0.943  7
37.0   9.0  959.0   97.0        0.915     0.724  0.808  0.808       0.958  8
40.0   8.0  887.0  143.0        0.947     0.781  0.856  0.856       0.955  9
42.2   7.3  878.0  105.5        0.934     0.711  0.806  0.806       0.952  mean
 9.4   2.9   42.9   22.9        0.025     0.053  0.034  0.034       0.008  stdev

10-fold cross-validation on splits directory using classifier_based_linear_svm_all_functions.
  fn    fp     tn     tp    precision    recall     f1     fb    accuracy  fold
----  ----  -----  -----  -----------  --------  -----  -----  ----------  ------
38.0   6.0  891.0   87.0        0.935     0.696  0.798  0.798       0.957  0
39.0   5.0  901.0  101.0        0.953     0.721  0.821  0.821       0.958  1
39.0   6.0  915.0   72.0        0.923     0.649  0.762  0.762       0.956  2
64.0   3.0  807.0  135.0        0.978     0.678  0.801  0.801       0.934  3
45.0   7.0  840.0  123.0        0.946     0.732  0.826  0.826       0.949  4
36.0  14.0  845.0  101.0        0.878     0.737  0.802  0.802       0.950  5
33.0  10.0  863.0  115.0        0.920     0.777  0.842  0.842       0.958  6
51.0   8.0  869.0   81.0        0.910     0.614  0.733  0.733       0.942  7
35.0   9.0  959.0   99.0        0.917     0.739  0.818  0.818       0.960  8
41.0   7.0  888.0  142.0        0.953     0.776  0.855  0.855       0.955  9
42.1   7.5  877.8  105.6        0.931     0.712  0.806  0.806       0.952  mean
 9.3   3.0   43.0   23.0        0.028     0.053  0.036  0.036       0.008  stdev
