

10-fold cross-validation on splits directory using classifier_based_linear_svm_all_functions.
  fn    fp     tn     tp    precision    recall     f1     fb    accuracy  fold
----  ----  -----  -----  -----------  --------  -----  -----  ----------  ------
38.0   6.0  891.0   87.0        0.935     0.696  0.798  0.798       0.957  0
39.0   5.0  901.0  101.0        0.953     0.721  0.821  0.821       0.958  1
39.0   6.0  915.0   72.0        0.923     0.649  0.762  0.762       0.956  2
64.0   3.0  807.0  135.0        0.978     0.678  0.801  0.801       0.934  3
45.0   7.0  840.0  123.0        0.946     0.732  0.826  0.826       0.949  4
36.0  14.0  845.0  101.0        0.878     0.737  0.802  0.802       0.950  5
33.0  10.0  863.0  115.0        0.920     0.777  0.842  0.842       0.958  6
51.0   8.0  869.0   81.0        0.910     0.614  0.733  0.733       0.942  7
35.0   9.0  959.0   99.0        0.917     0.739  0.818  0.818       0.960  8
41.0   7.0  888.0  142.0        0.953     0.776  0.855  0.855       0.955  9
42.1   7.5  877.8  105.6        0.931     0.712  0.806  0.806       0.952  mean
 9.3   3.0   43.0   23.0        0.028     0.053  0.036  0.036       0.008  stdev


10-fold cross-validation on splits directory using classifier_based_linear_svm_fast.
  fn    fp     tn     tp    precision    recall     f1     fb    accuracy  fold
----  ----  -----  -----  -----------  --------  -----  -----  ----------  ------
35.0   7.0  890.0   90.0        0.928     0.720  0.811  0.811       0.959  0
42.0   5.0  901.0   98.0        0.951     0.700  0.807  0.807       0.955  1
39.0   6.0  915.0   72.0        0.923     0.649  0.762  0.762       0.956  2
64.0   3.0  807.0  135.0        0.978     0.678  0.801  0.801       0.934  3
43.0   7.0  840.0  125.0        0.947     0.744  0.833  0.833       0.951  4
37.0  14.0  845.0  100.0        0.877     0.730  0.797  0.797       0.949  5
34.0  10.0  863.0  114.0        0.919     0.770  0.838  0.838       0.957  6
52.0   6.0  871.0   80.0        0.930     0.606  0.734  0.734       0.943  7
37.0   8.0  960.0   97.0        0.924     0.724  0.812  0.812       0.959  8
43.0   7.0  888.0  140.0        0.952     0.765  0.848  0.848       0.954  9
42.6   7.3  878.0  105.1        0.933     0.709  0.804  0.804       0.952  mean
 9.2   3.0   43.1   22.8        0.027     0.052  0.035  0.035       0.008  stdev


10-fold cross-validation on splits directory using classifier_based_linear_svm_full.
  fn    fp     tn     tp    precision    recall     f1     fb    accuracy  fold
----  ----  -----  -----  -----------  --------  -----  -----  ----------  ------
36.0   6.0  891.0   89.0        0.937     0.712  0.809  0.809       0.959  0
38.0   4.0  902.0  102.0        0.962     0.729  0.829  0.829       0.960  1
38.0   4.0  917.0   73.0        0.948     0.658  0.777  0.777       0.959  2
62.0   3.0  807.0  137.0        0.979     0.688  0.808  0.808       0.936  3
44.0   9.0  838.0  124.0        0.932     0.738  0.824  0.824       0.948  4
36.0  15.0  844.0  101.0        0.871     0.737  0.798  0.798       0.949  5
35.0   9.0  864.0  113.0        0.926     0.764  0.837  0.837       0.957  6
52.0   7.0  870.0   80.0        0.920     0.606  0.731  0.731       0.942  7
36.0   8.0  960.0   98.0        0.925     0.731  0.817  0.817       0.960  8
40.0   8.0  887.0  143.0        0.947     0.781  0.856  0.856       0.955  9
41.7   7.3  878.0  106.0        0.935     0.714  0.809  0.809       0.953  mean
 8.8   3.5   43.6   23.2        0.029     0.052  0.035  0.035       0.008  stdev
