

10-fold cross-validation on splits directory using edit_distance.
  fn    fp     tn     tp    precision    recall     f1     fb    accuracy    threshold  fold
----  ----  -----  -----  -----------  --------  -----  -----  ----------  -----------  ------
36.0  24.0  873.0   89.0        0.788     0.712  0.748  0.748       0.941         0.65  0
40.0  15.0  891.0  100.0        0.870     0.714  0.784  0.784       0.947         0.65  1
40.0  24.0  897.0   71.0        0.747     0.640  0.689  0.689       0.938         0.65  2
67.0  12.0  798.0  132.0        0.917     0.663  0.770  0.770       0.922         0.65  3
46.0  25.0  822.0  122.0        0.830     0.726  0.775  0.775       0.930         0.65  4
41.0  24.0  835.0   96.0        0.800     0.701  0.747  0.747       0.935         0.65  5
37.0  26.0  847.0  111.0        0.810     0.750  0.779  0.779       0.938         0.65  6
48.0  16.0  861.0   84.0        0.840     0.636  0.724  0.724       0.937         0.65  7
38.0  20.0  948.0   96.0        0.828     0.716  0.768  0.768       0.947         0.65  8
42.0  18.0  877.0  141.0        0.887     0.770  0.825  0.825       0.944         0.65  9
43.5  20.4  864.9  104.2        0.832     0.703  0.761  0.761       0.938         0.65  mean
 9.1   4.9   42.7   22.1        0.050     0.044  0.037  0.037       0.008         0.00  stdev


10-fold cross-validation on splits directory using closest_match_sca_global.
  fn    fp     tn     tp    precision    recall     f1     fb    accuracy    threshold  fold
----  ----  -----  -----  -----------  --------  -----  -----  ----------  -----------  ------
34.0  15.0  882.0   91.0        0.858     0.728  0.788  0.788       0.952         0.40  0
43.0  13.0  893.0   97.0        0.882     0.693  0.776  0.776       0.946         0.40  1
34.0  13.0  908.0   77.0        0.856     0.694  0.766  0.766       0.954         0.40  2
63.0  13.0  797.0  136.0        0.913     0.683  0.782  0.782       0.925         0.40  3
48.0  19.0  828.0  120.0        0.863     0.714  0.782  0.782       0.934         0.40  4
35.0  18.0  841.0  102.0        0.850     0.745  0.794  0.794       0.947         0.40  5
33.0  13.0  860.0  115.0        0.898     0.777  0.833  0.833       0.955         0.40  6
46.0  20.0  857.0   86.0        0.811     0.652  0.723  0.723       0.935         0.40  7
36.0  18.0  950.0   98.0        0.845     0.731  0.784  0.784       0.951         0.40  8
40.0  14.0  881.0  143.0        0.911     0.781  0.841  0.841       0.950         0.40  9
41.2  15.6  869.7  106.5        0.869     0.720  0.787  0.787       0.945         0.40  mean
 9.3   2.8   43.3   21.5        0.032     0.041  0.033  0.033       0.010         0.00  stdev


10-fold cross-validation on splits directory using closest_match_sca_overlap.
  fn    fp     tn     tp    precision    recall     f1     fb    accuracy    threshold  fold
----  ----  -----  -----  -----------  --------  -----  -----  ----------  -----------  ------
34.0  16.0  881.0   91.0        0.850     0.728  0.784  0.784       0.951         0.40  0
42.0  14.0  892.0   98.0        0.875     0.700  0.778  0.778       0.946         0.40  1
34.0  18.0  903.0   77.0        0.811     0.694  0.748  0.748       0.950         0.40  2
56.0  19.0  791.0  143.0        0.883     0.719  0.792  0.792       0.926         0.40  3
45.0  23.0  824.0  123.0        0.842     0.732  0.783  0.783       0.933         0.40  4
34.0  20.0  839.0  103.0        0.837     0.752  0.792  0.792       0.946         0.40  5
31.0  22.0  851.0  117.0        0.842     0.791  0.815  0.815       0.948         0.40  6
45.0  23.0  854.0   87.0        0.791     0.659  0.719  0.719       0.933         0.40  7
35.0  22.0  946.0   99.0        0.818     0.739  0.776  0.776       0.948         0.40  8
32.0  19.0  876.0  151.0        0.888     0.825  0.856  0.856       0.953         0.40  9
38.8  19.6  865.7  108.9        0.844     0.734  0.784  0.784       0.943         0.40  mean
 8.0   3.0   43.8   24.2        0.032     0.048  0.036  0.036       0.009         0.00  stdev


10-fold cross-validation on splits directory using closest_match_sca_local.
  fn    fp     tn     tp    precision    recall     f1     fb    accuracy    threshold  fold
----  ----  -----  -----  -----------  --------  -----  -----  ----------  -----------  ------
34.0  17.0  880.0   91.0        0.843     0.728  0.781  0.781       0.950         0.40  0
41.0  15.0  891.0   99.0        0.868     0.707  0.780  0.780       0.946         0.40  1
34.0  18.0  903.0   77.0        0.811     0.694  0.748  0.748       0.950         0.40  2
56.0  19.0  791.0  143.0        0.883     0.719  0.792  0.792       0.926         0.40  3
45.0  24.0  823.0  123.0        0.837     0.732  0.781  0.781       0.932         0.40  4
34.0  20.0  839.0  103.0        0.837     0.752  0.792  0.792       0.946         0.40  5
31.0  22.0  851.0  117.0        0.842     0.791  0.815  0.815       0.948         0.40  6
45.0  23.0  854.0   87.0        0.791     0.659  0.719  0.719       0.933         0.40  7
35.0  22.0  946.0   99.0        0.818     0.739  0.776  0.776       0.948         0.40  8
32.0  20.0  875.0  151.0        0.883     0.825  0.853  0.853       0.952         0.40  9
38.7  20.0  865.3  109.0        0.841     0.735  0.784  0.784       0.943         0.40  mean
 7.9   2.8   43.8   24.1        0.030     0.047  0.036  0.036       0.009         0.00  stdev
