ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	LANGUAGE_FAMILY	BORROWED	BORROWED_SCORE	BORROWED_BASE	AGE	AGE_SCORE	DONOR_LANGUAGE	DONOR_VALUE
1670	Portuguese	ABSTAIN FROM FOOD	jejuar	jejuar	ʒ e ʒ u a ʁ		Indo-European							
3438	Spanish	ABSTAIN FROM FOOD	ayunar	ayunar	a ʝ u n a ɾ		Indo-European							
4875	Yaqui	ABSTAIN FROM FOOD	kaa jibwa	kaa_jibwa	k aː + j i bʷ a		Uto-Aztecan	False	0.0		Modern	0.7		
6140	ZinacantanTzotzil	ABSTAIN FROM FOOD	ch’abah	ch’abah	tʃʼ a ɓ a h		Mayan	False	0.0		Proto-Mayan	1.0		
6141	ZinacantanTzotzil	ABSTAIN FROM FOOD	tz’ikbail	tz’ikbail	tsʼ i k ɓ a i l		Mayan	False	0.0		Proto-Tzotzil	1.0		
7909	Qeqchi	ABSTAIN FROM FOOD	kuyuk sa’	kuyuk_sa’	k u j u k + s a ʔ		Mayan	False	0.0		Q'eqchi'	1.0		
7910	Qeqchi	ABSTAIN FROM FOOD	ayuunink rix	ayuunink_rix	a j uː n i n k + ɾ i ʃ		Mayan	True	1.0		Post-Conquest Q’eqchi’	0.9	Spanish	ayunar
10146	Otomi	ABSTAIN FROM FOOD	behe	behe	b e h e		Otomanguean	False	0.0		Urbano (1605)	0.9		
10147	Otomi	ABSTAIN FROM FOOD	o̲t'e ya behe	o̲t'e_ya_behe	ə t̪ʼ e + j a + b e h e		Otomanguean	False	0.0		Urbano (1605)	0.9		
11313	ImbaburaQuechua	ABSTAIN FROM FOOD	ayunana	ayunana	a j u n a n a		Quechuan	True	1.0		Early Republic	0.8	Spanish	ayunar
12536	Wichi	ABSTAIN FROM FOOD	lhicheyhat	lhicheyhat	lˠ i tʃ e j h a t		Matacoan	False	0.0		1940-present	0.7		
1635	Portuguese	ACCUSE	acusar	acusar	a k u z a ʁ		Indo-European							
3399	Spanish	ACCUSE	acusar	acusar	a k u s a ɾ		Indo-European							
3400	Spanish	ACCUSE	denunciar	denunciar	d e n u n s j a ɾ		Indo-European							
4844	Yaqui	ACCUSE	jiku’ubwa	jiku’ubwa	j i k u ʔ u bʷ a		Uto-Aztecan	False	0.0		Modern	0.7		
4845	Yaqui	ACCUSE	yeu bwise	yeu_bwise	j e u + bʷ i s e		Uto-Aztecan	False	0.0		Modern	0.7		
7874	Qeqchi	ACCUSE	jitok	jitok	x i t o kʰ		Mayan	False	0.0		Q'eqchi'	1.0		
10097	Otomi	ACCUSE	ka̲ts'i	ka̲ts'i	k ɔ tsʼ i		Otomanguean	False	0.0		modern	0.6		
10098	Otomi	ACCUSE	mämbi	mämbi	m ɐ m b i		Otomanguean	False	0.0		Urbano (1605)	0.9		
11289	ImbaburaQuechua	ACCUSE	juchachina (1)	juchachina	x u tʃ a tʃ i n a		Quechuan	False	0.0		Contemporary	0.7		
12516	Wichi	ACCUSE	titsefwanaj	titsefwanaj	t i ts e fʷ a n a x		Matacoan	False	0.0		1940-present	0.7		
13766	Mapudungun	ACCUSE	zallun	zallun	z a ʎ u n		Araucanian	False	0.0		Pre-1606	1.0		
790	Portuguese	ACORN	bolota	bolota	b o l ɔ t ɐ		Indo-European							
2487	Spanish	ACORN	bellota	bellota	b e ʝ o t a		Indo-European							
