ID	DOCULECT	FAMILY	CONCEPT_NAME	CONCEPT	VALUE	FORM	TOKENS	BORROWED	BORROWED_SCORE	DONOR_LANGUAGE	DONOR_VALUE	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCALLID_0	SCA_0	SCA_0ID
12536	Wichi	Matacoan	abstain from food	ABSTAINFROMFOOD	lhicheyhat	lhicheyhat	lˠ i tʃ e j h a t	False	0.0			5 7 1 7 6 3 7 1	AXBYMBYN	LITEJHAT	7	7.L.C 7.I.V 7.T.C 7.E.V 7.J.c 7.H.C 7.A.V 7.T.c	2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8	lˠitʃejhat	0	0	6-Matacoan	7765
1635	Portuguese	Indo-European	accuse	ACCUSE	acusar	acusar	a k u z a ʁ					7 1 7 3 7 5	XBYBYN	AKYSAR	4	4.A.V 4.K.C 4.Y.V 4.S.C 4.A.V 4.R.c	1.5 1.75 1.3 1.75 1.3 0.8	akuzaʁ	0	0	15-Indo-European	3180
3399	Spanish	Indo-European	accuse	ACCUSE	acusar	acusar	a k u s a ɾ					7 1 7 3 7 5	XBYBYN	AKYSAR	6	6.A.V 6.K.C 6.Y.V 6.S.C 6.A.V 6.R.c	1.5 1.75 1.3 1.75 1.3 0.8	akusaɾ	0	0	15-Indo-European	3180
3400	Spanish	Indo-European	accuse	ACCUSE	denunciar	denunciar	d e n u n s j a ɾ					1 7 4 7 4 3 6 7 5	AXBYMBCYN	TENYNSJAR	6	6.T.C 6.E.V 6.N.C 6.Y.V 6.N.c 6.S.C 6.J.C 6.A.V 6.R.c	2.0 1.5 1.75 1.3 1.1 1.75 1.5 1.3 0.8	denunsjaɾ	0	0	21-Indo-European	3786
4844	Yaqui	Uto-Aztecan	accuse	ACCUSE	jiku’ubwa	jiku’ubwa	j i k u ʔ u bʷ a	False	0.0			6 7 1 7 1 7 1 7	AXBYBYBZ	JIKYHYPA	8	8.J.C 8.I.V 8.K.C 8.Y.V 8.H.C 8.Y.V 8.P.C 8.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	jikuʔubʷa	0	0	19-Uto-Aztecan	3576
4845	Yaqui	Uto-Aztecan	accuse	ACCUSE	yeu bwise	yeu_bwise	j e u + bʷ i s e	False	0.0			6 7 7 9 1 7 3 7	AXZ_AXBZ	JEY_PISE	8	8.J.C 8.E.V 8.Y.V 8._._ 8.P.C 8.I.V 8.S.C 8.E.V	2.0 1.5 0.8 0.0 2.0 1.5 1.75 0.8	jeu+bʷise	0	0	22-Uto-Aztecan	3882
7874	Qeqchi	Mayan	accuse	ACCUSE	jitok	jitok	x i t o kʰ	False	0.0			3 7 1 7 1	AXBYN	GITUK	5	5.G.C 5.I.V 5.T.C 5.U.V 5.K.c	2.0 1.5 1.75 1.3 0.8	xitokʰ	0	0	16-Mayan	3280
10097	Otomi	Otomanguean	accuse	ACCUSE	ka̲ts'i	ka̲ts'i	k ɔ tsʼ i	False	0.0			1 7 1 7	AXBZ	KUTI	3	3.K.C 3.U.V 3.T.C 3.I.V	2.0 1.5 1.75 0.8	kɔtsʼi	0	0	14-Otomanguean	3079
10098	Otomi	Otomanguean	accuse	ACCUSE	mämbi	mämbi	m ɐ m b i	False	0.0			4 7 4 1 7	AXMBZ	MEMPI	3	3.M.C 3.E.V 3.M.c 3.P.C 3.I.V	2.0 1.5 1.1 1.75 0.8	mɐmbi	0	0	20-Otomanguean	3681
11289	ImbaburaQuechua	Quechuan	accuse	ACCUSE	juchachina (1)	juchachina	x u tʃ a tʃ i n a	False	0.0			3 7 1 7 1 7 4 7	AXBYBYBZ	GYTATINA	1	1.G.C 1.Y.V 1.T.C 1.A.V 1.T.C 1.I.V 1.N.C 1.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	xutʃatʃina	0	0	12-Quechuan	2012
12516	Wichi	Matacoan	accuse	ACCUSE	titsefwanaj	titsefwanaj	t i ts e fʷ a n a x	False	0.0			1 7 2 7 3 7 4 7 3	AXBYBYBYN	TICEBANAG	7	7.T.C 7.I.V 7.C.C 7.E.V 7.B.C 7.A.V 7.N.C 7.A.V 7.G.c	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8	titsefʷanax	0	0	18-Matacoan	3478
13766	Mapudungun	Araucanian	accuse	ACCUSE	zallun	zallun	z a ʎ u n	False	0.0			3 7 5 7 4	AXBYN	SALYN	2	2.S.C 2.A.V 2.L.C 2.Y.V 2.N.c	2.0 1.5 1.75 1.3 0.8	zaʎun	0	0	13-Araucanian	2977
790	Portuguese	Indo-European	acorn	ACORN	bolota	bolota	b o l ɔ t ɐ					1 7 5 7 1 7	AXBYBZ	PULUTE	4	4.P.C 4.U.V 4.L.C 4.U.V 4.T.C 4.E.V	2.0 1.5 1.75 1.3 1.75 0.8	bolɔtɐ	0	0	24-Indo-European	4100
2487	Spanish	Indo-European	acorn	ACORN	bellota	bellota	b e ʝ o t a					1 7 3 7 1 7	AXBYBZ	PESUTA	6	6.P.C 6.E.V 6.S.C 6.U.V 6.T.C 6.A.V	2.0 1.5 1.75 1.3 1.75 0.8	beʝota	0	0	24-Indo-European	4100
5510	ZinacantanTzotzil	Mayan	acorn	ACORN	chochob	chochob	tʃʰ o tʃʰ o b	False	0.0			1 7 1 7 1	AXBYN	TUTUP	9	9.T.C 9.U.V 9.T.C 9.U.V 9.P.c	2.0 1.5 1.75 1.3 0.8	tʃʰotʃʰob	0	0	27-Mayan	4397
6929	Qeqchi	Mayan	acorn	ACORN	ru ji	ru_ji	r u + x i	False	0.0			5 7 9 3 7	AX_AX	RY_GI	5	5.R.C 5.Y.V 5._._ 5.G.C 5.I.V	2.0 1.5 0.0 2.0 1.5	ru+xi	0	0	25-Mayan	4199
8849	Otomi	Otomanguean	acorn	ACORN	ro	ro	r o	False	0.0			5 7	AX	RU	3	3.R.C 3.U.V	2.0 1.5	ro	0	0	23-Otomanguean	3997
1639	Portuguese	Indo-European	acquit	ACQUIT	absolver	absolver	a b s ɔu v e ʁ					7 1 3 7 3 7 5	XBCYBYN	APSUBER	4	4.A.V 4.P.C 4.S.C 4.U.V 4.B.C 4.E.V 4.R.c	1.5 1.75 1.5 1.3 1.75 1.3 0.8	absɔuveʁ	0	0	30-Indo-European	4701
3404	Spanish	Indo-European	acquit	ACQUIT	absolver	absolver	a β s o l β ɛ ɾ					7 3 3 7 5 3 7 5	XMBYMBYN	ABSULBER	6	6.A.V 6.B.c 6.S.C 6.U.V 6.L.c 6.B.C 6.E.V 6.R.c	1.5 1.1 1.75 1.3 1.1 1.75 1.3 0.8	aβsolβɛɾ	0	0	30-Indo-European	4701
3405	Spanish	Indo-European	acquit	ACQUIT	exculpar	exculpar	ɛ k s k u l p a ɾ					7 1 3 1 7 5 1 7 5	XBYBYMBYN	EKSKYLPAR	6	6.E.V 6.K.C 6.S.V 6.K.C 6.Y.V 6.L.c 6.P.C 6.A.V 6.R.c	1.5 1.75 1.3 1.75 1.3 1.1 1.75 1.3 0.8	ɛkskulpaɾ	0	0	35-Indo-European	5197
4848	Yaqui	Uto-Aztecan	acquit	ACQUIT	kulpata a u’ura	kulpata_a_u’ura	k u l p a t a + a + u ʔ u r a	False	0.0	Spanish	culpar	1 7 5 1 7 1 7 9 7 9 7 1 7 5 7	AXMBYBZ_X_XBYBZ	KYLPATA_A_YHYRA	8	8.K.C 8.Y.V 8.L.c 8.P.C 8.A.V 8.T.C 8.A.V 8._._ 8.A.V 8._._ 8.Y.V 8.H.C 8.Y.V 8.R.C 8.A.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8 0.0 1.5 0.0 1.5 1.75 1.3 1.75 0.8	kulpata+a+uʔura	0	0	34-Uto-Aztecan	5094
7879	Qeqchi	Mayan	acquit	ACQUIT	kuyuk maak	kuyuk_maak	k u j u k + m aː kʰ	False	0.0			1 7 6 7 1 9 4 7 1	AXBYN_AXN	KYJYK_MAK	5	5.K.C 5.Y.V 5.J.C 5.Y.V 5.K.c 5._._ 5.M.C 5.A.V 5.K.c	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 0.8	kujuk+maːkʰ	0	0	31-Mayan	4798
10102	Otomi	Otomanguean	acquit	ACQUIT	puni	puni	p u n i	False	0.0			1 7 4 7	AXBZ	PYNI	3	3.P.C 3.Y.V 3.N.C 3.I.V	2.0 1.5 1.75 0.8	puni	0	0	29-Otomanguean	4606
11291	ImbaburaQuechua	Quechuan	acquit	ACQUIT	kishpichina	kishpichina	k i ʃ p i tʃ i n a	False	0.0			1 7 3 1 7 1 7 4 7	AXMBYBYBZ	KISPITINA	1	1.K.C 1.I.V 1.S.c 1.P.C 1.I.V 1.T.C 1.I.V 1.N.C 1.A.V	2.0 1.5 1.1 1.75 1.3 1.75 1.3 1.75 0.8	kiʃpitʃina	0	0	28-Quechuan	4498
12517	Wichi	Matacoan	acquit	ACQUIT	tip’alhtsen	tip’alhtsen	t i p ʔ a lˠ ts e n	False	0.0			1 7 1 1 7 5 2 7 4	AXMBYMBYN	TIPHALCEN	7	7.T.C 7.I.V 7.P.c 7.H.C 7.A.V 7.L.c 7.C.C 7.E.V 7.N.c	2.0 1.5 1.1 1.75 1.3 1.1 1.75 1.3 0.8	tipʔalˠtsen	0	0	33-Matacoan	4993
1626	Portuguese	Indo-European	adjudicate	ADJUDICATE	julgar	julgar	ʒ uu ɡ a ʁ					3 7 1 7 5	AXBYN	SYKAR	4	4.S.C 4.Y.V 4.K.C 4.A.V 4.R.c	2.0 1.5 1.75 1.3 0.8	ʒuuɡaʁ	0	0	37-Indo-European	5400
3391	Spanish	Indo-European	adjudicate	ADJUDICATE	juzgar	juzgar	x u s ɣ a ɾ					3 7 3 3 7 5	AXMBYN	GYSGAR	6	6.G.C 6.Y.V 6.S.c 6.G.C 6.A.V 6.R.c	2.0 1.5 1.1 1.75 1.3 0.8	xusɣaɾ	0	0	37-Indo-European	5400
4835	Yaqui	Uto-Aztecan	adjudicate	ADJUDICATE	juskaroa	juskaroa	j u s k a r o a	True	1.0	Spanish	juzgar	6 7 3 1 7 5 7 7	AXMBYBYZ	JYSKARUA	8	8.J.C 8.Y.V 8.S.c 8.K.C 8.A.V 8.R.C 8.U.V 8.A.V	2.0 1.5 1.1 1.75 1.3 1.75 1.3 0.8	juskaroa	0	0	40-Uto-Aztecan	5715
7865	Qeqchi	Mayan	adjudicate	ADJUDICATE	raqok aatin	raqok_aatin	r a q o k + aː t i n	False	0.0			5 7 1 7 1 9 7 1 7 4	AXBYN_XBYN	RAKUK_ATIN	5	5.R.C 5.A.V 5.K.C 5.U.V 5.K.c 5._._ 5.A.V 5.T.C 5.I.V 5.N.c	2.0 1.5 1.75 1.3 0.8 0.0 1.5 1.75 1.3 0.8	raqok+aːtin	0	0	38-Mayan	5504
10085	Otomi	Otomanguean	adjudicate	ADJUDICATE	o̲t'u̲ts'u̲t'u̲bi	o̲t'u̲ts'u̲t'u̲bi	ə t̪ʼ u tsʼ u t̪ʼ u b i	False	0.0			7 1 7 1 7 1 7 1 7	XBYBYBYBZ	ETYTYTYPI	3	3.E.V 3.T.C 3.Y.V 3.T.C 3.Y.V 3.T.C 3.Y.V 3.P.C 3.I.V	1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	ət̪ʼutsʼut̪ʼubi	0	0	36-Otomanguean	5297
1489	Portuguese	Indo-European	admit	ADMIT	admitir	admitir	a dʒ i m i tʃ i ʁ					7 1 7 4 7 1 7 5	XBYBYBYN	ATIMITIR	4	4.A.V 4.T.C 4.I.V 4.M.C 4.I.V 4.T.C 4.I.V 4.R.c	1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8	adʒimitʃiʁ	0	0	43-Indo-European	6020
1490	Portuguese	Indo-European	admit	ADMIT	confessar	confessar	k õ f e s a ʁ					1 7 3 7 3 7 5	AXBYBYN	KUBESAR	4	4.K.C 4.U.V 4.B.C 4.E.V 4.S.C 4.A.V 4.R.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	kõfesaʁ	0	47	47-Indo-European	6430
3252	Spanish	Indo-European	admit	ADMIT	admitir	admitir	a ð m i t i ɾ					7 3 4 7 1 7 5	XBCYBYN	ADMITIR	6	6.A.V 6.D.C 6.M.C 6.I.V 6.T.C 6.I.V 6.R.c	1.5 1.75 1.5 1.3 1.75 1.3 0.8	aðmitiɾ	0	0	43-Indo-European	6020
3253	Spanish	Indo-European	admit	ADMIT	confesar	confesar	k o m f e s a ɾ					1 7 4 3 7 3 7 5	AXMBYBYN	KUMBESAR	6	6.K.C 6.U.V 6.M.c 6.B.C 6.E.V 6.S.C 6.A.V 6.R.c	2.0 1.5 1.1 1.75 1.3 1.75 1.3 0.8	komfesaɾ	0	47	47-Indo-European	6430
3254	Spanish	Indo-European	admit	ADMIT	reconocer	reconocer	r e k o n o s ɛ ɾ					5 7 1 7 4 7 3 7 5	AXBYBYBYN	REKUNUSER	6	6.R.C 6.E.V 6.K.C 6.U.V 6.N.C 6.U.V 6.S.C 6.E.V 6.R.c	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8	rekonosɛɾ	0	0	53-Indo-European	7050
4739	Yaqui	Uto-Aztecan	admit	ADMIT	konpesaroa	konpesaroa	k o n p e s a r o a	True	1.0	Spanish	confesar	1 7 4 1 7 3 7 5 7 7	AXMBYBYBYZ	KUNPESARUA	8	8.K.C 8.U.V 8.N.c 8.P.C 8.E.V 8.S.C 8.A.V 8.R.C 8.U.V 8.A.V	2.0 1.5 1.1 1.75 1.3 1.75 1.3 1.75 1.3 0.8	konpesaroa	0	47	47-Uto-Aztecan	6431
6044	ZinacantanTzotzil	Mayan	admit	ADMIT	hamal 7al	hamal_7al	h a m a l + ʔ a l	False	0.0			3 7 4 7 5 9 1 7 5	AXBYN_AXN	HAMAL_HAL	9	9.H.C 9.A.V 9.M.C 9.A.V 9.L.c 9._._ 9.H.C 9.A.V 9.L.c	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 0.8	hamal+ʔal	0	0	48-Mayan	6538
7749	Qeqchi	Mayan	admit	ADMIT	xsumenkil	xsumenkil	ʃ s u m e n k i l	False	0.0			3 3 7 4 7 4 1 7 5	ACYBYMBYN	SSYMENKIL	5	5.S.C 5.S.C 5.Y.V 5.M.C 5.E.V 5.N.c 5.K.C 5.I.V 5.L.c	2.0 1.5 1.3 1.75 1.3 1.1 1.75 1.3 0.8	ʃsumenkil	0	0	44-Mayan	6119
9887	Otomi	Otomanguean	admit	ADMIT	hä (2)	hä	h ɐ	False	0.0			3 7	AX	HE	3	3.H.C 3.E.V	2.0 1.5	hɐ	0	0	42-Otomanguean	5917
9888	Otomi	Otomanguean	admit	ADMIT	hegi	hegi	h e g i	False	0.0			3 7 1 7	AXBZ	HEKI	3	3.H.C 3.E.V 3.K.C 3.I.V	2.0 1.5 1.75 0.8	hegi	0	0	42-Otomanguean	5917
9889	Otomi	Otomanguean	admit	ADMIT	japi ar kaso	japi_ar_kaso	x a p i + a r + k a s o	True	1.0	Spanish	caso	3 7 1 7 9 7 5 9 1 7 3 7	AXBZ_XN_AXBZ	GAPI_AR_KASU	3	3.G.C 3.A.V 3.P.C 3.I.V 3._._ 3.A.V 3.R.c 3._._ 3.K.C 3.A.V 3.S.C 3.U.V	2.0 1.5 1.75 0.8 0.0 1.5 0.8 0.0 2.0 1.5 1.75 0.8	xapi+ar+kaso	0	0	52-Otomanguean	6952
11209	ImbaburaQuechua	Quechuan	admit	ADMIT	ari nina	ari_nina	a ɾ i + n i n a	False	0.0			7 5 7 9 4 7 4 7	XBZ_AXBZ	ARI_NINA	1	1.A.V 1.R.C 1.I.V 1._._ 1.N.C 1.I.V 1.N.C 1.A.V	1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	aɾi+nina	0	0	41-Quechuan	5812
12427	Wichi	Matacoan	admit	ADMIT	lhifwelh	lhifwelh	lˠ i fʷ e l̥	False	0.0			5 7 3 7 5	AXBYN	LIBEL	7	7.L.C 7.I.V 7.B.C 7.E.V 7.L.c	2.0 1.5 1.75 1.3 0.8	lˠifʷel̥	0	0	46-Matacoan	6326
734	Portuguese	Indo-European	adobe	ADOBE	adobe	adobe	a d ɔ b i					7 1 7 1 7	XBYBZ	ATUPI	4	4.A.V 4.T.C 4.U.V 4.P.C 4.I.V	1.5 1.75 1.3 1.75 0.8	adɔbi	0	54	54-Indo-European	7150
2425	Spanish	Indo-European	adobe	ADOBE	adobe	adobe	a ð o β e					7 3 7 3 7	XBYBZ	ADUBE	6	6.A.V 6.D.C 6.U.V 6.B.C 6.E.V	1.5 1.75 1.3 1.75 0.8	aðoβe	0	54	54-Indo-European	7150
4088	Yaqui	Uto-Aztecan	adobe	ADOBE	saami	saami	s aː m i	False	0.0			3 7 4 7	AXBZ	SAMI	8	8.S.C 8.A.V 8.M.C 8.I.V	2.0 1.5 1.75 0.8	saːmi	0	0	61-Uto-Aztecan	7873
5480	ZinacantanTzotzil	Mayan	adobe	ADOBE	shamit	shamit	ʃ a m i tʰ	True	1.0	Nahuatl	ximi-tl	3 7 4 7 1	AXBYN	SAMIT	9	9.S.C 9.A.V 9.M.C 9.I.V 9.T.c	2.0 1.5 1.75 1.3 0.8	ʃamitʰ	0	0	61-Mayan	7872
6878	Qeqchi	Mayan	adobe	ADOBE	xan	xan	ʃ a n	False	0.0			3 7 4	AXN	SAN	5	5.S.C 5.A.V 5.N.c	2.0 1.5 0.8	ʃan	0	0	58-Mayan	7562
6879	Qeqchi	Mayan	adobe	ADOBE	q'ut	q'ut	qʼ u tʰ	False	0.0			1 7 1	AXN	KYT	5	5.K.C 5.Y.V 5.T.c	2.0 1.5 0.8	qʼutʰ	0	0	63-Mayan	8078
8781	Otomi	Otomanguean	adobe	ADOBE	ñäha̲i	ñäha̲i	ɲ ɐ h ɔ i	False	0.0			4 7 3 7 7	AXBYZ	NEHUI	3	3.N.C 3.E.V 3.H.C 3.U.V 3.I.V	2.0 1.5 1.75 1.3 0.8	ɲɐhɔi	0	0	56-Otomanguean	7365
10671	ImbaburaQuechua	Quechuan	adobe	ADOBE	adubi	adubi	a d u b i	True	1.0	Spanish	adobe	7 1 7 1 7	XBYBZ	ATYPI	1	1.A.V 1.T.C 1.Y.V 1.P.C 1.I.V	1.5 1.75 1.3 1.75 0.8	adubi	0	54	54-Quechuan	7151
11865	Wichi	Matacoan	adobe	ADOBE	alulis	alulis	a l u l i s	True	1.0	Spanish	adobe	7 5 7 5 7 3	XBYBYN	ALYLIS	7	7.A.V 7.L.C 7.Y.V 7.L.C 7.I.V 7.S.c	1.5 1.75 1.3 1.75 1.3 0.8	alulis	0	0	60-Matacoan	7766
13136	Mapudungun	Araucanian	adobe	ADOBE	fazofe	fazofe	f a z o f e	True	1.0	Spanish	adobe	3 7 3 7 3 7	AXBYBZ	BASUBE	2	2.B.C 2.A.V 2.S.C 2.U.V 2.B.C 2.E.V	2.0 1.5 1.75 1.3 1.75 0.8	fazofe	0	0	55-Araucanian	7255
1647	Portuguese	Indo-European	adultery	ADULTERY	adultério	adultério	a d uu t ɛ ɾ j u					7 1 7 1 7 5 6 7	XBYBYBCZ	ATYTERJY	4	4.A.V 4.T.C 4.Y.V 4.T.C 4.E.V 4.R.C 4.J.C 4.Y.V	1.5 1.75 1.3 1.75 1.3 1.75 1.5 0.8	aduutɛɾju	0	0	65-Indo-European	8285
3413	Spanish	Indo-European	adultery	ADULTERY	adulterio	adulterio	a ð u l t ɛ ɾ j o					7 3 7 5 1 7 5 6 7	XBYMBYBCZ	ADYLTERJU	6	6.A.V 6.D.C 6.Y.V 6.L.c 6.T.C 6.E.V 6.R.C 6.J.C 6.U.V	1.5 1.75 1.3 1.1 1.75 1.3 1.75 1.5 0.8	aðultɛɾjo	0	0	65-Indo-European	8285
4856	Yaqui	Uto-Aztecan	adultery	ADULTERY	baita’a	baita’a	b a i t a ʔ a	False	0.0			1 7 7 1 7 1 7	AXYBYBZ	PAITAHA	8	8.P.C 8.A.V 8.I.V 8.T.C 8.A.V 8.H.C 8.A.V	2.0 1.5 1.3 1.75 1.3 1.75 0.8	baitaʔa	0	0	68-Uto-Aztecan	8593
7887	Qeqchi	Mayan	adultery	ADULTERY	muxuk sumlajik	muxuk_sumlajik	m u ʃ u k + s u m l a x i kʰ	False	0.0			4 7 3 7 1 9 3 7 4 5 7 3 7 1	AXBYN_AXBCYBYN	MYSYK_SYMLAGIK	5	5.M.C 5.Y.V 5.S.C 5.Y.V 5.K.c 5._._ 5.S.C 5.Y.V 5.M.C 5.L.C 5.A.V 5.G.C 5.I.V 5.K.c	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 1.75 1.5 1.3 1.75 1.3 0.8	muʃuk+sumlaxikʰ	0	0	66-Mayan	8384
7888	Qeqchi	Mayan	adultery	ADULTERY	muxuk	muxuk	m u ʃ u kʰ	False	0.0			4 7 3 7 1	AXBYN	MYSYK	5	5.M.C 5.Y.V 5.S.C 5.Y.V 5.K.c	2.0 1.5 1.75 1.3 0.8	muʃukʰ	0	0	66-Mayan	8384
10112	Otomi	Otomanguean	adultery	ADULTERY	nthekunthäti	nthekunthäti	n θ e k u n θ ɐ t̪ i	False	0.0			4 3 7 1 7 4 3 7 1 7	ACYBYMBYBZ	NDEKYNDETI	3	3.N.C 3.D.C 3.E.V 3.K.C 3.Y.V 3.N.c 3.D.C 3.E.V 3.T.C 3.I.V	2.0 1.5 1.3 1.75 1.3 1.1 1.75 1.3 1.75 0.8	nθekunθɐt̪i	0	0	64-Otomanguean	8181
839	Portuguese	Indo-European	adze	ADZE	enxó	enxó	ẽ ʃ ɔ					7 3 7	XBZ	ESU	4	4.E.V 4.S.C 4.U.V	1.5 1.75 0.8	ẽʃɔ	0	0	70-Indo-European	8794
2544	Spanish	Indo-European	adze	ADZE	azuela	azuela	a s w e l a					7 3 6 7 5 7	XBCYBZ	ASWELA	6	6.A.V 6.S.C 6.W.C 6.E.V 6.L.C 6.A.V	1.5 1.75 1.5 1.3 1.75 0.8	aswela	0	69	69-Indo-European	8693
10742	ImbaburaQuechua	Quechuan	adze	ADZE	aswila	aswila	a s w i l a	True	1.0	Spanish	azuela	7 3 6 7 5 7	XBCYBZ	ASWILA	1	1.A.V 1.S.C 1.W.C 1.I.V 1.L.C 1.A.V	1.5 1.75 1.5 1.3 1.75 0.8	aswila	0	69	69-Quechuan	8694
1066	Portuguese	Indo-European	after	AFTER	depois	depois	d e p oi ʃ					1 7 1 7 3	AXBYN	TEPUS	4	4.T.C 4.E.V 4.P.C 4.U.V 4.S.c	2.0 1.5 1.75 1.3 0.8	depoiʃ	0	0	74-Indo-European	9200
2792	Spanish	Indo-European	after	AFTER	después	después	d ɛ s p w e s					1 7 3 1 6 7 3	AXMBCYN	TESPWES	6	6.T.C 6.E.V 6.S.c 6.P.C 6.W.C 6.E.V 6.S.c	2.0 1.5 1.1 1.75 1.5 1.3 0.8	dɛspwes	0	0	74-Indo-European	9200
4364	Yaqui	Uto-Aztecan	after	AFTER	chukula	chukula	tʃ u k u l a	False	0.0			1 7 1 7 5 7	AXBYBZ	TYKYLA	8	8.T.C 8.Y.V 8.K.C 8.Y.V 8.L.C 8.A.V	2.0 1.5 1.75 1.3 1.75 0.8	tʃukula	0	0	78-Uto-Aztecan	9615
