ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	DONOR_LANGUAGE	DONOR_VALUE	SOURCE_LANGUAGE	SOURCE_VALUE	SOURCE_ID	DETECT_STATUS
1670	Portuguese	ABSTAIN FROM FOOD	jejuar	jejuar	ʒ e ʒ u a ʁ						
3438	Spanish	ABSTAIN FROM FOOD	ayunar	ayunar	a ʝ u n a ɾ						
4875	Yaqui	ABSTAIN FROM FOOD	kaa jibwa	kaa_jibwa	k aː + j i bʷ a						tn
6140	ZinacantanTzotzil	ABSTAIN FROM FOOD	ch’abah	ch’abah	tʃʼ a ɓ a h						tn
6141	ZinacantanTzotzil	ABSTAIN FROM FOOD	tz’ikbail	tz’ikbail	tsʼ i k ɓ a i l						tn
7909	Qeqchi	ABSTAIN FROM FOOD	kuyuk sa’	kuyuk_sa’	k u j u k + s a ʔ						tn
7910	Qeqchi	ABSTAIN FROM FOOD	ayuunink rix	ayuunink_rix	a j uː n i n k + ɾ i ʃ	Spanish	ayunar				tn
10146	Otomi	ABSTAIN FROM FOOD	behe	behe	b e h e						tn
10147	Otomi	ABSTAIN FROM FOOD	o̲t'e ya behe	o̲t'e_ya_behe	ə t̪ʼ e + j a + b e h e						tn
11313	ImbaburaQuechua	ABSTAIN FROM FOOD	ayunana	ayunana	a j u n a n a	Spanish	ayunar				tn
12536	Wichi	ABSTAIN FROM FOOD	lhicheyhat	lhicheyhat	lˠ i tʃ e j h a t						tn
1635	Portuguese	ACCUSE	acusar	acusar	a k u z a ʁ						
3399	Spanish	ACCUSE	acusar	acusar	a k u s a ɾ						
3400	Spanish	ACCUSE	denunciar	denunciar	d e n u n s j a ɾ						
4844	Yaqui	ACCUSE	jiku’ubwa	jiku’ubwa	j i k u ʔ u bʷ a						tn
4845	Yaqui	ACCUSE	yeu bwise	yeu_bwise	j e u + bʷ i s e						tn
7874	Qeqchi	ACCUSE	jitok	jitok	x i t o kʰ						tn
