ID	DOCULECT	LANGUAGE_FAMILY	CONCEPT	VALUE	FORM	TOKENS	BORROWED_SCORE	DONOR_LANGUAGE	DONOR_VALUE	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	BOR_ID	SOURCE_LANGUAGE	SOURCE_ID
1755	Spanish	Indo-European	ABSTAIN FROM FOOD	ayunar	ayunar	a ʝ u n a ɾ				7 3 7 4 7 5	XBYBYN	ASYNAR	5	5.A.V 5.S.C 5.Y.V 5.N.C 5.A.V 5.R.c	1.5 1.75 1.3 1.75 1.3 0.8	aʝunaɾ	0	1		
3192	Yaqui	Uto-Aztecan	ABSTAIN FROM FOOD	kaa jibwa	kaa_jibwa	k aː + j i bʷ a	0.0			1 7 9 6 7 1 7	AX_AXBZ	KA_JIPA	7	7.K.C 7.A.V 7._._ 7.J.C 7.I.V 7.P.C 7.A.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	kaː+jibʷa	0	0		
4457	ZinacantanTzotzil	Mayan	ABSTAIN FROM FOOD	ch’abah	ch’abah	tʃʼ a ɓ a h	0.0			1 7 1 7 3	AXBYN	TAPAH	8	8.T.C 8.A.V 8.P.C 8.A.V 8.H.c	2.0 1.5 1.75 1.3 0.8	tʃʼaɓah	0	0		
4458	ZinacantanTzotzil	Mayan	ABSTAIN FROM FOOD	tz’ikbail	tz’ikbail	tsʼ i k ɓ a i l	0.0			1 7 1 1 7 7 5	AXMBYYN	TIKPAIL	8	8.T.C 8.I.V 8.K.c 8.P.C 8.A.V 8.I.V 8.L.c	2.0 1.5 1.1 1.75 1.3 1.3 0.8	tsʼikɓail	0	0		
6226	Qeqchi	Mayan	ABSTAIN FROM FOOD	kuyuk sa’	kuyuk_sa’	k u j u k + s a ʔ	0.0			1 7 6 7 1 9 3 7 1	AXBYN_AXN	KYJYK_SAH	4	4.K.C 4.Y.V 4.J.C 4.Y.V 4.K.c 4._._ 4.S.C 4.A.V 4.H.c	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 0.8	kujuk+saʔ	0	0		
6227	Qeqchi	Mayan	ABSTAIN FROM FOOD	ayuunink rix	ayuunink_rix	a j uː n i n k + ɾ i ʃ	1.0	Spanish	ayunar	7 6 7 4 7 4 1 9 5 7 3	XBYBYLN_AXN	AJYNINK_RIS	4	4.A.V 4.J.C 4.Y.V 4.N.C 4.I.V 4.N.c 4.K.c 4._._ 4.R.C 4.I.V 4.S.c	1.5 1.75 1.3 1.75 1.3 1.1 0.8 0.0 2.0 1.5 0.8	ajuːnink+ɾiʃ	0	0		
8463	Otomi	Otomanguean	ABSTAIN FROM FOOD	behe	behe	b e h e	0.0			1 7 3 7	AXBZ	PEHE	3	3.P.C 3.E.V 3.H.C 3.E.V	2.0 1.5 1.75 0.8	behe	0	0		
8464	Otomi	Otomanguean	ABSTAIN FROM FOOD	o̲t'e ya behe	o̲t'e_ya_behe	ə t̪ʼ e + j a + b e h e	0.0			7 1 7 9 6 7 9 1 7 3 7	XBZ_AX_AXBZ	ETE_JA_PEHE	3	3.E.V 3.T.C 3.E.V 3._._ 3.J.C 3.A.V 3._._ 3.P.C 3.E.V 3.H.C 3.E.V	1.5 1.75 0.8 0.0 2.0 1.5 0.0 2.0 1.5 1.75 0.8	ət̪ʼe+ja+behe	0	0		
9630	ImbaburaQuechua	Quechuan	ABSTAIN FROM FOOD	ayunana	ayunana	a j u n a n a	1.0	Spanish	ayunar	7 6 7 4 7 4 7	XBYBYBZ	AJYNANA	1	1.A.V 1.J.C 1.Y.V 1.N.C 1.A.V 1.N.C 1.A.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	ajunana	0	1	Spanish	1755
10853	Wichi	Matacoan	ABSTAIN FROM FOOD	lhicheyhat	lhicheyhat	lˠ i tʃ e j h a t	0.0			5 7 1 7 6 3 7 1	AXBYMBYN	LITEJHAT	6	6.L.C 6.I.V 6.T.C 6.E.V 6.J.c 6.H.C 6.A.V 6.T.c	2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8	lˠitʃejhat	0	0		
1716	Spanish	Indo-European	ACCUSE	acusar	acusar	a k u s a ɾ				7 1 7 3 7 5	XBYBYN	AKYSAR	5	5.A.V 5.K.C 5.Y.V 5.S.C 5.A.V 5.R.c	1.5 1.75 1.3 1.75 1.3 0.8	akusaɾ	0	0		
1717	Spanish	Indo-European	ACCUSE	denunciar	denunciar	d e n u n s j a ɾ				1 7 4 7 4 3 6 7 5	AXBYMBCYN	TENYNSJAR	5	5.T.C 5.E.V 5.N.C 5.Y.V 5.N.c 5.S.C 5.J.C 5.A.V 5.R.c	2.0 1.5 1.75 1.3 1.1 1.75 1.5 1.3 0.8	denunsjaɾ	0	0		
3161	Yaqui	Uto-Aztecan	ACCUSE	jiku’ubwa	jiku’ubwa	j i k u ʔ u bʷ a	0.0			6 7 1 7 1 7 1 7	AXBYBYBZ	JIKYHYPA	7	7.J.C 7.I.V 7.K.C 7.Y.V 7.H.C 7.Y.V 7.P.C 7.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	jikuʔubʷa	0	0		
3162	Yaqui	Uto-Aztecan	ACCUSE	yeu bwise	yeu_bwise	j e u + bʷ i s e	0.0			6 7 7 9 1 7 3 7	AXZ_AXBZ	JEY_PISE	7	7.J.C 7.E.V 7.Y.V 7._._ 7.P.C 7.I.V 7.S.C 7.E.V	2.0 1.5 0.8 0.0 2.0 1.5 1.75 0.8	jeu+bʷise	0	0		
6191	Qeqchi	Mayan	ACCUSE	jitok	jitok	x i t o kʰ	0.0			3 7 1 7 1	AXBYN	GITUK	4	4.G.C 4.I.V 4.T.C 4.U.V 4.K.c	2.0 1.5 1.75 1.3 0.8	xitokʰ	0	0		
8414	Otomi	Otomanguean	ACCUSE	ka̲ts'i	ka̲ts'i	k ɔ tsʼ i	0.0			1 7 1 7	AXBZ	KUTI	3	3.K.C 3.U.V 3.T.C 3.I.V	2.0 1.5 1.75 0.8	kɔtsʼi	0	0		
8415	Otomi	Otomanguean	ACCUSE	mämbi	mämbi	m ɐ m b i	0.0			4 7 4 1 7	AXMBZ	MEMPI	3	3.M.C 3.E.V 3.M.c 3.P.C 3.I.V	2.0 1.5 1.1 1.75 0.8	mɐmbi	0	0		
9606	ImbaburaQuechua	Quechuan	ACCUSE	juchachina (1)	juchachina	x u tʃ a tʃ i n a	0.0			3 7 1 7 1 7 4 7	AXBYBYBZ	GYTATINA	1	1.G.C 1.Y.V 1.T.C 1.A.V 1.T.C 1.I.V 1.N.C 1.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	xutʃatʃina	0	0		
10833	Wichi	Matacoan	ACCUSE	titsefwanaj	titsefwanaj	t i ts e fʷ a n a x	0.0			1 7 2 7 3 7 4 7 3	AXBYBYBYN	TICEBANAG	6	6.T.C 6.I.V 6.C.C 6.E.V 6.B.C 6.A.V 6.N.C 6.A.V 6.G.c	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8	titsefʷanax	0	0		
12083	Mapudungun	Araucanian	ACCUSE	zallun	zallun	z a ʎ u n	0.0			3 7 5 7 4	AXBYN	SALYN	2	2.S.C 2.A.V 2.L.C 2.Y.V 2.N.c	2.0 1.5 1.75 1.3 0.8	zaʎun	0	0		
1708	Spanish	Indo-European	ADJUDICATE	juzgar	juzgar	x u s ɣ a ɾ				3 7 3 3 7 5	AXMBYN	GYSGAR	5	5.G.C 5.Y.V 5.S.c 5.G.C 5.A.V 5.R.c	2.0 1.5 1.1 1.75 1.3 0.8	xusɣaɾ	0	23		
3152	Yaqui	Uto-Aztecan	ADJUDICATE	juskaroa	juskaroa	j u s k a r o a	1.0	Spanish	juzgar	6 7 3 1 7 5 7 7	AXMBYBYZ	JYSKARUA	7	7.J.C 7.Y.V 7.S.c 7.K.C 7.A.V 7.R.C 7.U.V 7.A.V	2.0 1.5 1.1 1.75 1.3 1.75 1.3 0.8	juskaroa	0	23	Spanish	1708
6182	Qeqchi	Mayan	ADJUDICATE	raqok aatin	raqok_aatin	r a q o k + aː t i n	0.0			5 7 1 7 1 9 7 1 7 4	AXBYN_XBYN	RAKUK_ATIN	4	4.R.C 4.A.V 4.K.C 4.U.V 4.K.c 4._._ 4.A.V 4.T.C 4.I.V 4.N.c	2.0 1.5 1.75 1.3 0.8 0.0 1.5 1.75 1.3 0.8	raqok+aːtin	0	0		
8402	Otomi	Otomanguean	ADJUDICATE	o̲t'u̲ts'u̲t'u̲bi	o̲t'u̲ts'u̲t'u̲bi	ə t̪ʼ u tsʼ u t̪ʼ u b i	0.0			7 1 7 1 7 1 7 1 7	XBYBYBYBZ	ETYTYTYPI	3	3.E.V 3.T.C 3.Y.V 3.T.C 3.Y.V 3.T.C 3.Y.V 3.P.C 3.I.V	1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	ət̪ʼutsʼut̪ʼubi	0	0		
