ID	DOCULECT	LANGUAGE_FAMILY	CONCEPT	VALUE	FORM	TOKENS	BORROWED_SCORE	DONOR_LANGUAGE	DONOR_VALUE	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SOURCE_LANGUAGE	SOURCE_ID	DET_STATUS
1755	Spanish	Indo-European	ABSTAIN FROM FOOD	ayunar	ayunar	a ʝ u n a ɾ				7 3 7 4 7 5	XBYBYN	ASYNAR	5	5.A.V 5.S.C 5.Y.V 5.N.C 5.A.V 5.R.c	1.5 1.75 1.3 1.75 1.3 0.8	aʝunaɾ	0			
3192	Yaqui	Uto-Aztecan	ABSTAIN FROM FOOD	kaa jibwa	kaa_jibwa	k aː + j i bʷ a	0.0			1 7 9 6 7 1 7	AX_AXBZ	KA_JIPA	7	7.K.C 7.A.V 7._._ 7.J.C 7.I.V 7.P.C 7.A.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	kaː+jibʷa	0			tn
4457	ZinacantanTzotzil	Mayan	ABSTAIN FROM FOOD	ch’abah	ch’abah	tʃʼ a ɓ a h	0.0			1 7 1 7 3	AXBYN	TAPAH	8	8.T.C 8.A.V 8.P.C 8.A.V 8.H.c	2.0 1.5 1.75 1.3 0.8	tʃʼaɓah	0			tn
4458	ZinacantanTzotzil	Mayan	ABSTAIN FROM FOOD	tz’ikbail	tz’ikbail	tsʼ i k ɓ a i l	0.0			1 7 1 1 7 7 5	AXMBYYN	TIKPAIL	8	8.T.C 8.I.V 8.K.c 8.P.C 8.A.V 8.I.V 8.L.c	2.0 1.5 1.1 1.75 1.3 1.3 0.8	tsʼikɓail	0			tn
6226	Qeqchi	Mayan	ABSTAIN FROM FOOD	kuyuk sa’	kuyuk_sa’	k u j u k + s a ʔ	0.0			1 7 6 7 1 9 3 7 1	AXBYN_AXN	KYJYK_SAH	4	4.K.C 4.Y.V 4.J.C 4.Y.V 4.K.c 4._._ 4.S.C 4.A.V 4.H.c	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 0.8	kujuk+saʔ	0			tn
6227	Qeqchi	Mayan	ABSTAIN FROM FOOD	ayuunink rix	ayuunink_rix	a j uː n i n k + ɾ i ʃ	1.0	Spanish	ayunar	7 6 7 4 7 4 1 9 5 7 3	XBYBYLN_AXN	AJYNINK_RIS	4	4.A.V 4.J.C 4.Y.V 4.N.C 4.I.V 4.N.c 4.K.c 4._._ 4.R.C 4.I.V 4.S.c	1.5 1.75 1.3 1.75 1.3 1.1 0.8 0.0 2.0 1.5 0.8	ajuːnink+ɾiʃ	0			fn
8463	Otomi	Otomanguean	ABSTAIN FROM FOOD	behe	behe	b e h e	0.0			1 7 3 7	AXBZ	PEHE	3	3.P.C 3.E.V 3.H.C 3.E.V	2.0 1.5 1.75 0.8	behe	0			tn
8464	Otomi	Otomanguean	ABSTAIN FROM FOOD	o̲t'e ya behe	o̲t'e_ya_behe	ə t̪ʼ e + j a + b e h e	0.0			7 1 7 9 6 7 9 1 7 3 7	XBZ_AX_AXBZ	ETE_JA_PEHE	3	3.E.V 3.T.C 3.E.V 3._._ 3.J.C 3.A.V 3._._ 3.P.C 3.E.V 3.H.C 3.E.V	1.5 1.75 0.8 0.0 2.0 1.5 0.0 2.0 1.5 1.75 0.8	ət̪ʼe+ja+behe	0			tn
9630	ImbaburaQuechua	Quechuan	ABSTAIN FROM FOOD	ayunana	ayunana	a j u n a n a	1.0	Spanish	ayunar	7 6 7 4 7 4 7	XBYBYBZ	AJYNANA	1	1.A.V 1.J.C 1.Y.V 1.N.C 1.A.V 1.N.C 1.A.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	ajunana	0	Spanish	1755	tp
10853	Wichi	Matacoan	ABSTAIN FROM FOOD	lhicheyhat	lhicheyhat	lˠ i tʃ e j h a t	0.0			5 7 1 7 6 3 7 1	AXBYMBYN	LITEJHAT	6	6.L.C 6.I.V 6.T.C 6.E.V 6.J.c 6.H.C 6.A.V 6.T.c	2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8	lˠitʃejhat	0			tn
