ID	DOCULECT	FAMILY	CONCEPT_NAME	CONCEPT	VALUE	FORM	TOKENS	BORROWED	BORROWED_SCORE	DONOR_LANGUAGE	DONOR_VALUE	AUTOCOGID	AUTOBORID
1670	Portuguese	Indo-European	abstain from food	ABSTAINFROMFOOD	jejuar	jejuar	ʒ e ʒ u a ʁ					1203	0
3438	Spanish	Indo-European	abstain from food	ABSTAINFROMFOOD	ayunar	ayunar	a ʝ u n a ɾ					1195	0
4875	Yaqui	Uto-Aztecan	abstain from food	ABSTAINFROMFOOD	kaa jibwa	kaa_jibwa	k aː + j i bʷ a	False	0.0			10511	0
6140	ZinacantanTzotzil	Mayan	abstain from food	ABSTAINFROMFOOD	ch’abah	ch’abah	tʃʼ a ɓ a h	False	0.0			4718	0
6141	ZinacantanTzotzil	Mayan	abstain from food	ABSTAINFROMFOOD	tz’ikbail	tz’ikbail	tsʼ i k ɓ a i l	False	0.0			4720	0
7909	Qeqchi	Mayan	abstain from food	ABSTAINFROMFOOD	kuyuk sa’	kuyuk_sa’	k u j u k + s a ʔ	False	0.0			4717	0
7910	Qeqchi	Mayan	abstain from food	ABSTAINFROMFOOD	ayuunink rix	ayuunink_rix	a j uː n i n k + ɾ i ʃ	True	1.0	Spanish	ayunar	4719	0
10146	Otomi	Otomanguean	abstain from food	ABSTAINFROMFOOD	behe	behe	b e h e	False	0.0			7428	0
10147	Otomi	Otomanguean	abstain from food	ABSTAINFROMFOOD	o̲t'e ya behe	o̲t'e_ya_behe	ə t̪ʼ e + j a + b e h e	False	0.0			7429	0
11313	ImbaburaQuechua	Quechuan	abstain from food	ABSTAINFROMFOOD	ayunana	ayunana	a j u n a n a	True	1.0	Spanish	ayunar	9355	0
12536	Wichi	Matacoan	abstain from food	ABSTAINFROMFOOD	lhicheyhat	lhicheyhat	lˠ i tʃ e j h a t	False	0.0			3517	0
1635	Portuguese	Indo-European	accuse	ACCUSE	acusar	acusar	a k u z a ʁ					1204	0
3399	Spanish	Indo-European	accuse	ACCUSE	acusar	acusar	a k u s a ɾ					1196	0
3400	Spanish	Indo-European	accuse	ACCUSE	denunciar	denunciar	d e n u n s j a ɾ					1206	0
4844	Yaqui	Uto-Aztecan	accuse	ACCUSE	jiku’ubwa	jiku’ubwa	j i k u ʔ u bʷ a	False	0.0			10512	0
4845	Yaqui	Uto-Aztecan	accuse	ACCUSE	yeu bwise	yeu_bwise	j e u + bʷ i s e	False	0.0			10513	0
7874	Qeqchi	Mayan	accuse	ACCUSE	jitok	jitok	x i t o kʰ	False	0.0			4721	0
10097	Otomi	Otomanguean	accuse	ACCUSE	ka̲ts'i	ka̲ts'i	k ɔ tsʼ i	False	0.0			7430	0
10098	Otomi	Otomanguean	accuse	ACCUSE	mämbi	mämbi	m ɐ m b i	False	0.0			7431	0
11289	ImbaburaQuechua	Quechuan	accuse	ACCUSE	juchachina (1)	juchachina	x u tʃ a tʃ i n a	False	0.0			9356	0
12516	Wichi	Matacoan	accuse	ACCUSE	titsefwanaj	titsefwanaj	t i ts e fʷ a n a x	False	0.0			3518	0
13766	Mapudungun	Araucanian	accuse	ACCUSE	zallun	zallun	z a ʎ u n	False	0.0			1	0
790	Portuguese	Indo-European	acorn	ACORN	bolota	bolota	b o l ɔ t ɐ					1207	0
2487	Spanish	Indo-European	acorn	ACORN	bellota	bellota	b e ʝ o t a					1198	0
5510	ZinacantanTzotzil	Mayan	acorn	ACORN	chochob	chochob	tʃʰ o tʃʰ o b	False	0.0			4723	0
6929	Qeqchi	Mayan	acorn	ACORN	ru ji	ru_ji	r u + x i	False	0.0			4722	0
8849	Otomi	Otomanguean	acorn	ACORN	ro	ro	r o	False	0.0			7432	0
1639	Portuguese	Indo-European	acquit	ACQUIT	absolver	absolver	a b s ɔu v e ʁ					1208	0
3404	Spanish	Indo-European	acquit	ACQUIT	absolver	absolver	a β s o l β ɛ ɾ					1199	0
3405	Spanish	Indo-European	acquit	ACQUIT	exculpar	exculpar	ɛ k s k u l p a ɾ					1210	0
4848	Yaqui	Uto-Aztecan	acquit	ACQUIT	kulpata a u’ura	kulpata_a_u’ura	k u l p a t a + a + u ʔ u r a	False	0.0	Spanish	culpar	10514	0
7879	Qeqchi	Mayan	acquit	ACQUIT	kuyuk maak	kuyuk_maak	k u j u k + m aː kʰ	False	0.0			4724	0
10102	Otomi	Otomanguean	acquit	ACQUIT	puni	puni	p u n i	False	0.0			7433	0
11291	ImbaburaQuechua	Quechuan	acquit	ACQUIT	kishpichina	kishpichina	k i ʃ p i tʃ i n a	False	0.0			9357	0
12517	Wichi	Matacoan	acquit	ACQUIT	tip’alhtsen	tip’alhtsen	t i p ʔ a lˠ ts e n	False	0.0			3519	0
1626	Portuguese	Indo-European	adjudicate	ADJUDICATE	julgar	julgar	ʒ uu ɡ a ʁ					1211	0
3391	Spanish	Indo-European	adjudicate	ADJUDICATE	juzgar	juzgar	x u s ɣ a ɾ					1201	0
4835	Yaqui	Uto-Aztecan	adjudicate	ADJUDICATE	juskaroa	juskaroa	j u s k a r o a	True	1.0	Spanish	juzgar	10515	0
7865	Qeqchi	Mayan	adjudicate	ADJUDICATE	raqok aatin	raqok_aatin	r a q o k + aː t i n	False	0.0			4725	0
10085	Otomi	Otomanguean	adjudicate	ADJUDICATE	o̲t'u̲ts'u̲t'u̲bi	o̲t'u̲ts'u̲t'u̲bi	ə t̪ʼ u tsʼ u t̪ʼ u b i	False	0.0			7434	0
1489	Portuguese	Indo-European	admit	ADMIT	admitir	admitir	a dʒ i m i tʃ i ʁ					1212	0
1490	Portuguese	Indo-European	admit	ADMIT	confessar	confessar	k õ f e s a ʁ					1214	1
3252	Spanish	Indo-European	admit	ADMIT	admitir	admitir	a ð m i t i ɾ					1202	0
3253	Spanish	Indo-European	admit	ADMIT	confesar	confesar	k o m f e s a ɾ					1203	1
3254	Spanish	Indo-European	admit	ADMIT	reconocer	reconocer	r e k o n o s ɛ ɾ					1203	1
4739	Yaqui	Uto-Aztecan	admit	ADMIT	konpesaroa	konpesaroa	k o n p e s a r o a	True	1.0	Spanish	confesar	10516	1
6044	ZinacantanTzotzil	Mayan	admit	ADMIT	hamal 7al	hamal_7al	h a m a l + ʔ a l	False	0.0			4727	0
7749	Qeqchi	Mayan	admit	ADMIT	xsumenkil	xsumenkil	ʃ s u m e n k i l	False	0.0			4726	0
9887	Otomi	Otomanguean	admit	ADMIT	hä (2)	hä	h ɐ	False	0.0			7435	0
9888	Otomi	Otomanguean	admit	ADMIT	hegi	hegi	h e g i	False	0.0			7002	0
9889	Otomi	Otomanguean	admit	ADMIT	japi ar kaso	japi_ar_kaso	x a p i + a r + k a s o	True	1.0	Spanish	caso	7437	0
11209	ImbaburaQuechua	Quechuan	admit	ADMIT	ari nina	ari_nina	a ɾ i + n i n a	False	0.0			9358	0
12427	Wichi	Matacoan	admit	ADMIT	lhifwelh	lhifwelh	lˠ i fʷ e l̥	False	0.0			3520	0
734	Portuguese	Indo-European	adobe	ADOBE	adobe	adobe	a d ɔ b i					1215	2
2425	Spanish	Indo-European	adobe	ADOBE	adobe	adobe	a ð o β e					1204	2
4088	Yaqui	Uto-Aztecan	adobe	ADOBE	saami	saami	s aː m i	False	0.0			10517	3
5480	ZinacantanTzotzil	Mayan	adobe	ADOBE	shamit	shamit	ʃ a m i tʰ	True	1.0	Nahuatl	ximi-tl	4728	3
6878	Qeqchi	Mayan	adobe	ADOBE	xan	xan	ʃ a n	False	0.0			4438	0
6879	Qeqchi	Mayan	adobe	ADOBE	q'ut	q'ut	qʼ u tʰ	False	0.0			4730	0
8781	Otomi	Otomanguean	adobe	ADOBE	ñäha̲i	ñäha̲i	ɲ ɐ h ɔ i	False	0.0			7438	0
10671	ImbaburaQuechua	Quechuan	adobe	ADOBE	adubi	adubi	a d u b i	True	1.0	Spanish	adobe	9359	2
11865	Wichi	Matacoan	adobe	ADOBE	alulis	alulis	a l u l i s	True	1.0	Spanish	adobe	3521	0
13136	Mapudungun	Araucanian	adobe	ADOBE	fazofe	fazofe	f a z o f e	True	1.0	Spanish	adobe	2	2
1647	Portuguese	Indo-European	adultery	ADULTERY	adultério	adultério	a d uu t ɛ ɾ j u					1216	0
3413	Spanish	Indo-European	adultery	ADULTERY	adulterio	adulterio	a ð u l t ɛ ɾ j o					1205	0
4856	Yaqui	Uto-Aztecan	adultery	ADULTERY	baita’a	baita’a	b a i t a ʔ a	False	0.0			10518	0
7887	Qeqchi	Mayan	adultery	ADULTERY	muxuk sumlajik	muxuk_sumlajik	m u ʃ u k + s u m l a x i kʰ	False	0.0			4731	0
7888	Qeqchi	Mayan	adultery	ADULTERY	muxuk	muxuk	m u ʃ u kʰ	False	0.0			4440	0
10112	Otomi	Otomanguean	adultery	ADULTERY	nthekunthäti	nthekunthäti	n θ e k u n θ ɐ t̪ i	False	0.0			7439	0
839	Portuguese	Indo-European	adze	ADZE	enxó	enxó	ẽ ʃ ɔ					1217	0
2544	Spanish	Indo-European	adze	ADZE	azuela	azuela	a s w e l a					1206	4
10742	ImbaburaQuechua	Quechuan	adze	ADZE	aswila	aswila	a s w i l a	True	1.0	Spanish	azuela	9360	4
1066	Portuguese	Indo-European	after	AFTER	depois	depois	d e p oi ʃ					1218	0
2792	Spanish	Indo-European	after	AFTER	después	después	d ɛ s p w e s					1207	5
4364	Yaqui	Uto-Aztecan	after	AFTER	chukula	chukula	tʃ u k u l a	False	0.0			10519	0
7252	Qeqchi	Mayan	after	AFTER	moqon	moqon	m o q o n	False	0.0			4732	0
9267	Otomi	Otomanguean	after	AFTER	‘mefa	‘mefa	ˀm e f a	False	0.0			7440	0
9268	Otomi	Otomanguean	after	AFTER	gem’bu	gem’bu	g e m ʔ b u	False	0.0			7441	0
9269	Otomi	Otomanguean	after	AFTER	'be̲fa	'be̲fa	ˀb æ f a	False	0.0			7006	0
10892	ImbaburaQuechua	Quechuan	after	AFTER	jipa	jipa	x i p a	False	0.0			9361	0
12100	Wichi	Matacoan	after	AFTER	lapesey	lapesey	l a p e s e j	False	0.0			3522	0
13371	Mapudungun	Araucanian	after	AFTER	fey wüla	fey_wüla	f e y + w ɨ l a	False	0.0			3	0
13372	Mapudungun	Araucanian	after	AFTER	depwe	depwe	θ e p w e	True	1.0	Spanish	después	4	5
1253	Portuguese	Indo-European	afternoon	AFTERNOON	tarde	tarde	t a ʁ dʒ i					1219	0
